+++
RED:UKNet.rut
********************************************************
********************************************************
Probablidad de Bloqueo por usuario con 12 Long. de Onda:
Probablidad de Bloqueo total de la Red: 0.001364
********************************************************
Origen	Destino	Prob.Bloqueo	Saltos
1	37	0.000000	1.000000
1	38	0.000000	5.000000
1	39	0.000000	4.000000
1	40	0.000000	4.000000
1	41	0.000000	3.000000
1	42	0.004041	5.000000
2	0	0.000368	4.000000
2	1	0.009434	4.000000
2	2	NO TIENE
2	3	0.012523	4.000000
2	4	0.004963	4.000000
2	5	0.000000	1.000000
2	6	0.005065	3.000000
2	7	0.000000	2.000000
2	8	0.004688	5.000000
2	9	0.001116	3.000000
2	10	0.013625	4.000000
2	11	0.004678	5.000000
2	12	0.005261	5.000000
2	13	0.003221	4.000000
2	14	0.005038	4.000000
2	15	0.000714	4.000000
2	16	0.000000	5.000000
2	17	0.010200	5.000000
2	18	0.000000	2.000000
2	19	0.005861	3.000000
2	20	0.000355	3.000000
2	21	0.000000	1.000000
2	22	0.000000	1.000000
2	23	0.000000	1.000000
2	24	0.004312	4.000000
2	25	0.000000	1.000000
2	26	0.000000	2.000000
2	27	0.006031	6.000000
2	28	0.013401	6.000000
2	29	0.004719	3.000000
2	30	0.010291	3.000000
2	31	0.004762	5.000000
2	32	0.000000	2.000000
2	33	0.000000	2.000000
2	34	0.004917	4.000000
2	35	0.013091	2.000000
2	36	0.005020	4.000000
2	37	0.013994	3.000000
2	38	0.006498	6.000000
2	39	0.004376	4.000000
2	40	0.004304	5.000000
2	41	0.004731	4.000000
2	42	0.000000	2.000000
3	0	0.000000	6.000000
3	1	0.000000	1.000000
3	2	0.013963	4.000000
3	3	NO TIENE
3	4	0.000000	4.000000
3	5	0.012593	4.000000
3	6	0.000000	2.000000
3	7	0.006065	5.000000
3	8	0.000000	2.000000
3	9	0.000358	5.000000
3	10	0.000000	1.000000
3	11	0.000000	1.000000
3	12	0.000000	4.000000
3	13	0.000356	7.000000
3	14	0.000000	6.000000
3	15	0.000000	4.000000
3	16	0.000000	5.000000
3	17	0.000000	2.000000
3	18	0.010068	6.000000
3	19	0.000368	6.000000
3	20	0.000000	5.000000
3	21	0.005018	4.000000
3	22	0.010780	5.000000
3	23	0.009822	5.000000
3	24	0.000000	7.000000
3	25	0.010858	3.000000
3	26	0.004383	3.000000
3	27	0.000000	3.000000
3	28	0.000000	3.000000
3	29	0.000000	3.000000
3	30	0.000000	2.000000
3	31	0.000000	5.000000
3	32	0.004346	5.000000
3	33	0.012082	5.000000
3	34	0.000000	3.000000
3	35	0.000000	2.000000
3	36	0.000000	1.000000
3	37	0.000000	1.000000
3	38	0.000000	4.000000
3	39	0.000000	3.000000
3	40	0.000000	3.000000
3	41	0.000000	2.000000
3	42	0.004345	4.000000
4	0	0.000000	2.000000
4	1	0.000000	5.000000
4	2	0.004380	4.000000
4	3	0.000000	4.000000
4	4	NO TIENE
4	5	0.004739	5.000000
4	6	0.000000	2.000000
4	7	0.005874	4.000000
4	8	0.000000	2.000000
4	9	0.000000	3.000000
4	10	0.000000	4.000000
4	11	0.000000	3.000000
4	12	0.000000	1.000000
4	13	0.000000	4.000000
4	14	0.000000	3.000000
4	15	0.000000	2.000000
4	16	0.000000	1.000000
4	17	0.000000	3.000000
4	18	0.004739	6.000000
4	19	0.000000	3.000000
4	20	0.000000	3.000000
4	21	0.005016	3.000000
4	22	0.005829	5.000000
4	23	0.005772	5.000000
4	24	0.000000	4.000000
4	25	0.002164	4.000000
4	26	0.005573	3.000000
4	27	0.000000	2.000000
4	28	0.000000	3.000000
4	29	0.000000	1.000000
4	30	0.000000	4.000000
4	31	0.000000	2.000000
4	32	0.002182	3.000000
4	33	0.007538	6.000000
4	34	0.000000	1.000000
4	35	0.000000	3.000000
4	36	0.000000	3.000000
4	37	0.000000	4.000000
4	38	0.000000	2.000000
4	39	0.000000	2.000000
4	40	0.000000	1.000000
4	41	0.000000	3.000000
4	42	0.003248	2.000000
5	0	0.000000	4.000000
5	1	0.015793	4.000000
5	2	0.000000	1.000000
5	3	0.011952	4.000000
5	4	0.003876	5.000000
5	5	NO TIENE
5	6	0.004972	3.000000
5	7	0.000000	1.000000
5	8	0.004304	5.000000
5	9	0.000000	3.000000
5	10	0.016733	4.000000
5	11	0.003239	5.000000
5	12	0.000000	6.000000
5	13	0.003279	4.000000
5	14	0.003654	4.000000
5	15	0.000000	4.000000
5	16	0.000000	5.000000
5	17	0.011431	5.000000
5	18	0.000000	2.000000
5	19	0.003884	3.000000
5	20	0.000000	3.000000
5	21	0.000000	2.000000
5	22	0.000000	1.000000
5	23	0.000000	2.000000
5	24	0.001790	4.000000
5	25	0.000000	1.000000
5	26	0.000000	2.000000
5	27	0.007914	6.000000
5	28	0.013206	6.000000
5	29	0.006243	4.000000
5	30	0.009807	3.000000
5	31	0.004646	5.000000
5	32	0.000000	2.000000
5	33	0.000000	1.000000
5	34	0.005376	5.000000
5	35	0.011961	2.000000
5	36	0.004581	4.000000
5	37	0.015553	3.000000
5	38	0.005102	6.000000
5	39	0.004599	4.000000
5	40	0.002847	6.000000
5	41	0.005482	4.000000
5	42	0.000000	3.000000
6	0	0.000000	4.000000
6	1	0.000000	3.000000
6	2	0.005441	3.000000
6	3	0.000000	2.000000
6	4	0.000368	2.000000
6	5	0.004287	3.000000
6	6	NO TIENE
6	7	0.004384	3.000000
6	8	0.000000	2.000000
6	9	0.000000	3.000000
6	10	0.000000	3.000000
6	11	0.000000	2.000000
6	12	0.000000	3.000000
6	13	0.000000	5.000000
6	14	0.000000	5.000000
6	15	0.000000	2.000000
6	16	0.000000	3.000000
6	17	0.000000	3.000000
6	18	0.003872	5.000000
6	19	0.000000	4.000000
6	20	0.000352	3.000000
6	21	0.003189	2.000000
6	22	0.005376	4.000000
6	23	0.006721	4.000000
6	24	0.000000	5.000000
6	25	0.003716	2.000000
6	26	0.005488	1.000000
6	27	0.000000	4.000000
6	28	0.000000	4.000000
6	29	0.000359	1.000000
6	30	0.000000	2.000000
6	31	0.000000	4.000000
6	32	0.003611	3.000000
6	33	0.002878	4.000000
6	34	0.000000	2.000000
6	35	0.000000	1.000000
6	36	0.000000	1.000000
6	37	0.000000	2.000000
6	38	0.000000	4.000000
6	39	0.000000	1.000000
6	40	0.000000	3.000000
6	41	0.000000	1.000000
6	42	0.005166	2.000000
7	0	0.000000	3.000000
7	1	0.011704	5.000000
7	2	0.000000	2.000000
7	3	0.004332	5.000000
7	4	0.006386	4.000000
7	5	0.000000	1.000000
7	6	0.005423	3.000000
7	7	NO TIENE
7	8	0.005539	5.000000
7	9	0.000000	2.000000
7	10	0.009151	5.000000
7	11	0.005346	5.000000
7	12	0.000000	5.000000
7	13	0.003970	3.000000
7	14	0.007151	3.000000
7	15	0.000000	3.000000
7	16	0.000000	4.000000
7	17	0.003955	6.000000
7	18	0.000000	3.000000
7	19	0.002173	2.000000
7	20	0.000000	2.000000
7	21	0.000000	1.000000
7	22	0.000000	2.000000
7	23	0.000000	3.000000
7	24	0.003289	3.000000
7	25	0.000000	2.000000
7	26	0.000000	2.000000
7	27	0.002499	6.000000
7	28	0.004456	6.000000
7	29	0.004649	3.000000
7	30	0.016146	4.000000
7	31	0.005310	4.000000
7	32	0.000000	1.000000
7	33	0.000000	2.000000
7	34	0.005300	4.000000
7	35	0.010519	3.000000
7	36	0.004071	4.000000
7	37	0.012101	4.000000
7	38	0.003651	5.000000
7	39	0.006440	4.000000
7	40	0.003578	5.000000
7	41	0.004225	4.000000
7	42	0.000000	2.000000
8	0	0.000000	4.000000
8	1	0.000000	3.000000
8	2	0.004715	5.000000
8	3	0.000000	2.000000
8	4	0.000000	2.000000
8	5	0.004603	5.000000
8	6	0.000000	2.000000
8	7	0.002501	5.000000
8	8	NO TIENE
8	9	0.000000	4.000000
8	10	0.000000	2.000000
8	11	0.000000	1.000000
8	12	0.000000	2.000000
8	13	0.000000	6.000000
8	14	0.000000	4.000000
8	15	0.000000	3.000000
8	16	0.000000	3.000000
8	17	0.000000	2.000000
8	18	0.005181	7.000000
8	19	0.000000	5.000000
8	20	0.000000	4.000000
8	21	0.003323	4.000000
8	22	0.005065	6.000000
8	23	0.005338	6.000000
8	24	0.000000	5.000000
8	25	0.003232	4.000000
8	26	0.005482	3.000000
8	27	0.000000	2.000000
8	28	0.000000	3.000000
8	29	0.000000	2.000000
8	30	0.000000	4.000000
8	31	0.000000	3.000000
8	32	0.005708	4.000000
